UCWF,UCWDP,UCFDP,UCFMS,UCFMEP,UCAF,UCFMC,UCMVB,UCAH,UCFS,UCFVB,UCFMV,UCFMT,UCHC,UCHAH,UCHV,MVWF2,MVCV,MVDP,MVWF1,MVWF1.setting,MVSO,MVOT,CPPR,CPHE,CPMEP,CPCF,CPHP,CPMC,CPAH,CPMV,CPMT,CPSP,CPDP,UCSDP,AMBH,AMBT,UCAIH,UCAIT,UCAOH,UCAOT,UCWIT,UCWOT,timestamp,experiment_id,season,T_initial,T_setpoint,frequency_factor
0,7,192.43,1944,241,1900,0.88,2.55,42,1819,2.51,418,35.6,0.009,2,408.0,0,-0.05,0,1,1,0,0,31,0,2,0,1,0.007,2.4,407.1,0,76,106,25.4,67,18.7,69.9,17.98,79.33,16.62,10.37,15.59,1970-01-01 00:00:00.000000001,DS05,winter,18.7,28.0,
0,6,81.56,1395,133,1237,1.08,1.87,62,1113,2.44,353,41.8,0.008,4,405.9,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.007,2.9,405.0,0,66,103,11.72,51,22.13,51.93,21.85,49.96,22.21,13.05,17.59,1970-01-01 00:00:00.000000001,DS04,winter,22.13,27.0,
-2,6,99.63,1395,139,1367,1.05,1.18,62,1298,1.5,353,41.7,3.079,4,404.8,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.008,2.9,404.0,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.18,13.05,17.55,1970-01-01 00:00:00.000000002,DS04,winter,22.13,27.0,
0,7,180.71,1797,182,1842,0.87,2.27,42,1953,3.05,415,35.6,1.482,2,407.3,0,-0.05,0,1,1,0,0,32,0,2,0,1,0.007,2.4,406.4,0,75,105,23.44,67,18.7,69.9,17.98,79.35,16.58,10.37,15.59,1970-01-01 00:00:00.000000002,DS05,winter,18.7,28.0,
-1,5,100.61,1395,121,1374,1.07,1.15,62,1419,1.46,353,41.7,3.076,4,404.8,-1,-0.05,1,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.7,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.18,13.05,17.55,1970-01-01 00:00:00.000000003,DS04,winter,22.13,27.0,
0,7,133.82,1573,134,1585,1.02,1.53,42,1781,1.9,396,35.4,1.482,2,407.2,0,-0.05,0,1,1,0,0,31,0,2,0,1,0.007,2.4,406.4,0,75,105,18.07,67,18.7,69.9,17.98,79.35,16.59,10.37,15.59,1970-01-01 00:00:00.000000003,DS05,winter,18.7,28.0,
0,5,100.61,1395,128,1374,1.07,1.19,62,1418,1.56,353,41.7,3.076,4,404.8,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.6,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.21,13.0,17.55,1970-01-01 00:00:00.000000004,DS04,winter,22.13,27.0,
0,6,102.08,1395,126,1384,1.04,1.54,42,1539,1.55,352,35.3,3.096,2,407.2,0,-0.05,0,1,1,0,0,31,0,2,0,1,0.007,2.4,406.1,0,73,105,13.19,67,18.7,70.03,17.98,79.35,16.63,10.37,15.59,1970-01-01 00:00:00.000000004,DS05,winter,18.7,28.0,
0,6,101.59,1395,125,1381,1.06,1.38,42,1432,1.34,353,35.3,3.095,2,407.2,0,-0.05,0,1,1,0,0,30,0,2,0,1,0.007,2.4,406.2,0,71,103,13.19,67,18.7,70.03,17.98,79.38,16.63,10.37,15.59,1970-01-01 00:00:00.000000005,DS05,winter,18.7,28.0,
0,5,100.61,1395,138,1374,1.06,1.19,62,1418,1.56,353,41.8,3.076,4,404.8,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.6,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.21,13.0,17.55,1970-01-01 00:00:00.000000005,DS04,winter,22.13,27.0,
